Volgorde;Locatiecode;Locatie;Latitude;Longitude;Watertype;Filter;Hoeveelheid water gefilterd (ml);Datum;Tijdsstip;Gewest;Beheerder;Vallen gelegd;Opmerkingen;Verwachte soort(en);Target+IPC check;Niet bemonsterd;;;;;;;;;;;;;;
29;ANB7;Gordaalvijver;50.830444;4.530667;Vijver;STF1049;2900;02/07/2025;16:55;Vlaanderen;ANB;;;Geen (in het verleden geen kreeften gevangen in 30 vallen);Pole_COI 60;;;;;;;;;;;;;;;
30;CRDG6;Chemin du Hameau;50.725487;4.596205;Vijver;STF1050;850;02/07/2025;11:05;Wallonië;Commune de wavre;;;Niet gekend;Pole_COI 60;;;;;;;;;;;;;;;
31;22;Boisfort;50.792996;4.416581;Vijver;STF1051;5800;04/07/2025;10:00;Brussel;État belge, donation royale - managed by BE-LB;;;Pontastacus leptodactylus;Pole_COI 60;;;;;;;;;;;;;;;
32;21;Silex;50.791342;4.414758;Vijver;STF1052;3250;04/07/2025;10:30;Brussel;État belge, donation royale - managed by BE-LB;;;Geen (zat vroeger Pontastacus leptodactylus);Pole_COI 60;;;;;;;;;;;;;;;
33;28;Rood Klooster;50.815402;4.438145;Vijver;STF1053;4750;04/07/2025;15:00;Brussel;Bruxelles environnement (BE-LB);;;Niet gekend (Turkse rivierkreeft aanwezig in die regio);Pole_COI 60;;;;;;;;;;;;;;;
34;24;Royal Belge, AXA vijver;50.8038;4.427076;Vijver;STF1054;2600;04/07/2025;12:10;Brussel;Privately owned, managed by BE-LB;ja;;Pontastacus leptodactylus (1 individu gevangen in onze vallen);Pole_COI 60;;;;;;;;;;;;;;;
35;23;Vijver van de Leibeek;50.799711;4.420663;Vijver;STF1055;1200;04/07/2025;11:25;Brussel;Bruxelles environnement (BE-LB);;;Niet gekend (Turkse rivierkreeft aanwezig in die regio);Pole_COI 60;;;;;;;;;;;;;;;
36;25;Ten Reukenvijver;50.807069;4.428364;Vijver;STF1056;4500;04/07/2025;13:55;Brussel;Bruxelles environnement (BE-LB);;;Niet gekend (Pontastacus leptodactylus in de vijver er naast);Pole_COI 60;;;;;;;;;;;;;;;
37;30;Kleine Mellaertvijver;50.826755;4.432966;Vijver;STF1057;700;04/07/2025;16:40;Brussel;Bruxelles environnement (BE-LB);;;Niet gekend (Turkse rivierkreeft aanwezig in die regio);Pole_COI 60;;;;;;;;;;;;;;;
38;ANB9;Zoet water;50.822667;4.657167;Vijver;STF1058;2200;07/07/2025;11:10;Vlaanderen;ANB;;Mengstaal vijvers 3, 4 en 5 (1 en 2 waren droog gelegd);Geen (in het verleden geen kreeften gevangen in vallen);Pole_COI 60;;;;;;;;;;;;;;;
